indiv,cost,phylo_dist,bloom,shannon,consval,grass_spec_frac,grass_weight_frac
1,1996.95521,82317.60143,29.64830093,15.64866741,62.70248414,0.16,0.148991008
2,713.3687907,81469.77515,27.89842311,2.58489454,93.38586912,0.12,0.020667354
3,345.4928989,83196.74368,25.0173822,14.4366587,51.3354486,0.36,0.637684526
4,2121.254608,92340.29347,24.28315797,16.4591776,58.18690116,0.16,0.227026882
5,1242.973073,88365.34107,16.91980403,24.69212734,64.71009129,0.32,0.321368728
6,2491.881323,64775.11172,24.91594645,16.73842768,98.34843686,0.04,0.090014193
7,2393.503126,83745.75902,20.83729737,24.95507343,69.61975286,0.28,0.281499092
8,637.6380253,86107.66146,27.8524037,10.77581059,25.87878389,0.24,0.559719032
9,2312.562245,34477.94537,25.96761738,19.39293112,90.08417153,0,0
10,2354.28935,42174.71807,25.56128202,20.07768399,89.57938797,0.04,0.072830317
11,577.1154136,86587.91905,27.47215481,12.4567187,29.8165742,0.24,0.508604783
12,1774.739407,64739.89123,26.37966561,17.68818215,88.26628996,0.08,0.085021204
13,823.7416108,81248.74705,28.04683724,3.874933096,91.47881514,0.12,0.044478208
14,1972.62943,44476.9847,26.71642041,19.06637332,87.24450182,0,0
15,2031.805121,65390.26505,23.79794123,22.19961119,84.26310673,0.12,0.144538461
16,1755.595747,90991.73036,23.91019745,15.46483137,52.3731993,0.2,0.283369
17,2087.610402,66419.36693,22.72892433,22.77755938,86.83380113,0.08,0.095530926
18,1921.751947,92069.9224,23.3383269,17.75132225,54.7239198,0.2,0.262904452
19,1440.933976,77473.76796,29.31988186,14.3018996,69.27100487,0.08,0.013938351
20,1217.875553,87956.70763,17.50303273,23.55690222,70.67750298,0.28,0.30121254
21,479.1687135,82879.82105,27.84398551,7.032626319,42.17378442,0.2,0.630253947
22,1276.082928,90221.16593,21.93126552,20.45453913,57.07164518,0.24,0.283177243
23,2409.897266,36459.87942,25.82616772,20.37057491,90.48340811,0,0
24,428.5861235,82512.96289,27.51817421,4.42431761,43.59786391,0.16,0.861493552
25,585.2443899,86889.10777,27.29792574,10.17403694,31.77237277,0.24,0.58135074
26,2049.499842,60628.13913,24.41076055,20.98095215,84.07801025,0.04,0.062891148
27,1107.062197,83999.41697,23.45456548,19.19819276,50.80539757,0.32,0.42833269
28,924.9572759,72850.05808,28.17750075,10.35278184,60.80138225,0.08,0.013175089
29,1368.95217,58214.27246,26.82573712,18.12018611,86.94155007,0,0
30,528.3958784,86303.65185,27.24545681,5.910843832,49.67114787,0.2,0.851402819
31,1300.010315,82037.52669,21.00442401,24.58771947,75.39746488,0.28,0.283203741
32,1510.953136,71916.89355,28.64723985,12.35627465,78.10538126,0.08,0.012834578
33,1894.189809,71320.71982,25.96403675,13.86467999,96.67000163,0.04,0.006436751
34,1271.517414,83835.70352,19.58881701,24.24130852,72.19224168,0.24,0.256464285
35,1979.446924,82317.60143,29.64830093,15.05877809,58.6040736,0.16,0.165117594
36,2021.541119,38169.08655,25.68450941,18.89872503,90.52045313,0,0
37,2098.886001,45428.80714,25.31733584,19.99173357,94.40988835,0.04,0.070664714
38,497.8139961,82159.4498,26.87533149,11.8152274,47.85531044,0.28,0.577967265
39,772.119339,81469.77515,27.89842311,3.400909133,90.61667176,0.12,0.021723731
40,1263.713552,87266.40734,17.77835437,24.74950115,66.46914662,0.32,0.317574982
41,361.8518281,82673.73933,25.64100089,13.77615674,51.84030808,0.36,0.703624231
42,2297.554656,51584.24291,25.08997425,19.99379988,95.10654092,0.04,0.071672122
43,1018.709476,84826.40736,19.39523621,23.63014869,69.09783468,0.32,0.318658718
44,2357.406148,71219.14579,25.5103904,15.36626108,97.26320858,0.08,0.104900465
45,2344.275075,40510.1519,25.56825115,20.61067096,92.04978572,0,0
46,1632.47738,81234.82385,29.08242546,12.77512082,62.7394251,0.16,0.154006707
47,2054.034183,71560.13567,26.49682909,17.38686513,87.40394602,0.08,0.063622395
48,2345.144824,37668.35265,25.66429694,20.01308185,92.21775798,0,0
49,2421.685347,72923.12473,28.65436714,16.05594452,79.85460806,0.08,0.044817193
50,1412.203435,56295.68944,25.77719364,16.14002468,89.72281514,0.08,0.104079611
51,1182.235381,87757.23479,17.26327465,24.24945752,68.20120174,0.32,0.328874789
52,1321.32929,89740.94194,18.88326239,23.60014404,61.7881992,0.24,0.242910603
53,913.5456061,84432.28469,28.49787053,9.570136485,67.93933188,0.16,0.08340895
54,1195.514634,88419.14912,17.97995949,23.58574503,65.91309007,0.32,0.339264652
55,2473.489372,53796.07128,25.04861953,20.82151789,90.62704667,0.04,0.047191837
56,1244.394823,73563.35013,27.82618565,8.850775935,91.01354218,0.08,0.013471433
57,604.1325403,83279.83396,27.25230358,11.85938821,33.57570876,0.28,0.607665444
58,436.4311695,81996.80853,26.93532412,10.73724418,40.37476221,0.24,0.696710011
59,381.4155904,83127.56405,25.88036477,12.06416947,47.15520134,0.32,0.635733879
60,564.8214596,81469.77515,27.89842311,4.39155959,72.90241608,0.12,0.433186227
61,1356.195977,88630.28536,18.17066505,24.31153941,65.23634416,0.28,0.289708471
62,598.2833306,85280.16805,27.63321572,9.093948479,49.32739936,0.2,0.372473621
63,459.440602,83101.36108,27.4226265,6.456172968,46.28721679,0.2,0.847009955
64,2126.992516,63634.54776,23.08932383,22.1232136,88.69355221,0.08,0.113945564
65,1119.255661,86647.51399,17.7154042,24.34904295,65.00689014,0.36,0.369621853
66,963.2500327,82778.94871,20.54836156,23.20265849,64.8153258,0.32,0.349990299
67,789.2900474,87789.12677,27.83003079,8.56911244,27.92523353,0.2,0.405018035
68,810.3514722,84410.67466,27.52705595,13.50546143,35.20382792,0.24,0.429562638
69,2186.151134,39383.87889,25.67869089,20.37556689,90.05177532,0,0
70,2367.618932,36459.87942,25.82616772,20.35089948,90.34347293,0,0
71,687.4689687,80123.50915,27.54941571,4.727543473,75.06748306,0.12,0.033103282
72,1537.384865,75718.66515,22.07513055,22.50552899,84.4476446,0.2,0.204766607
73,551.604999,85248.32569,27.85550954,9.081354932,36.05336994,0.2,0.550957055
74,492.7739348,83089.26442,27.36382708,6.843050342,46.67760603,0.2,0.823204796
75,756.8262741,80913.57532,25.38395568,16.33662172,59.79670921,0.24,0.369476531
76,395.3986547,84264.07002,26.54764581,7.417155503,44.83197143,0.28,0.871547669
77,744.1901021,83601.12267,27.36171507,10.50731218,45.71479365,0.12,0.223922442
78,474.6415203,84819.83869,27.25947181,9.330034431,40.97896172,0.28,0.844440803
79,1604.786314,70431.98198,26.08889778,13.5588421,89.53034388,0.04,0.006358056
80,2321.150579,61824.01906,25.02303878,18.75409738,92.53234523,0.04,0.076451073
81,492.4409027,82219.9934,27.18628386,7.27241731,55.36060796,0.16,0.2818849
82,624.1366502,86823.92039,26.63892173,12.68394747,39.41287773,0.2,0.369579844
83,2229.532163,54599.3895,25.47773316,18.98153805,93.36140819,0,0
84,1385.057641,87247.39715,20.69255682,24.16218808,71.37947252,0.24,0.262428264
85,517.2537964,83830.20379,27.59066691,4.614609908,44.37560266,0.16,0.849654215
86,720.3799672,87468.26166,27.70692517,11.09048689,27.16739301,0.24,0.550369886
87,2481.179187,67000.54362,25.1933992,16.87183648,97.76590345,0.04,0.089926212
88,2445.709065,74494.12406,26.65200289,16.18579299,86.25597835,0.08,0.065308314
89,649.2443077,86107.66146,27.8524037,10.90035779,26.57948363,0.24,0.531979064
90,2208.167198,52789.11406,26.75228837,18.67728458,90.18603036,0.04,0.012130486
91,806.1378833,80344.86069,27.5336141,5.095279996,71.93915865,0.12,0.044122183
92,954.2099651,85870.45129,18.33294271,23.6141789,64.36546591,0.36,0.362438584
93,1260.741057,87069.88988,20.37448087,23.76100035,65.41505658,0.28,0.295061329
94,2239.434322,41461.95406,25.71230049,19.74664989,91.26185893,0.04,0.073197356
95,2241.315616,40510.1519,25.56825115,20.28266514,91.84799289,0,0
96,450.0427804,84912.66396,26.70005486,9.383817318,37.19506428,0.2,0.526396078
97,410.6268785,84584.60701,27.076796,10.00273387,38.20852653,0.28,0.72806954
98,1573.873017,91246.76611,23.17387779,18.39574843,53.65617787,0.2,0.308515662
99,601.302556,85327.09923,27.62872695,11.8341443,28.86279738,0.28,0.614494729
100,2266.864174,62963.41625,25.89842311,16.96663389,91.49497845,0.04,0.015995385
101,1923.659172,70708.37102,27.46265188,15.13972606,82.23983928,0.12,0.114784627
102,520.8246117,84263.02707,27.85550954,6.065829351,38.80948072,0.2,0.493037136
103,2490.751078,67461.73565,28.42727751,14.95563392,85.112525,0.08,0.012917405
104,1757.740315,49469.73907,25.2204078,21.08880641,83.7688615,0.04,0.056701833
105,1559.166438,78378.82558,26.84846899,14.15268563,78.8242001,0.08,0.016200949
